"Frequency / Hz","Resistor voltage","Resistor voltage"
10,33.629587333997037,-0.54030394221184175
10.233717986325198,33.629812604839515,-0.55294653496551238
10.472898382363585,33.630048533918419,-0.56588566491836523
10.717668854455029,33.630295625753824,-0.57912833863138624
10.968160052731379,33.630554408765249,-0.5926817319054678
11.224505680853065,33.630825436418988,-0.6065531940970823
11.486842567375536,33.63110928849666,-0.62075025260517491
11.755310738783693,33.631406572097823,-0.63528061750137443
12.030053494233242,33.631717923277051,-0.65015218626307736
12.311217482038902,33.632044008115955,-0.66537304869586333
12.598952777950272,33.63238552435903,-0.68095149195642002
12.89341296525715,33.632743202773227,-0.69689600579912425
13.19475521676706,33.633117808860426,-0.71321528791806266
13.503140378698729,33.633510144370632,-0.72991824952597129
13.818733056536322,33.63392104912527,-0.74701402106277659
14.14170170289024,33.634351402790116,-0.76451195811338091
14.472218707411344,33.63480212677559,-0.78242164752509635
14.810460488806754,33.63527418622828,-0.80075291371813639
15.156607589006027,33.635768592102977,-0.81951582521816102
15.510844769528406,33.636286403377291,-0.83872070140557509
15.873361110102095,33.636828729328784,-0.85837811949694509
16.24435010958867,33.637396731880401,-0.87849892179571065
16.624009789266125,33.637991628230786,-0.8990942231518797
17.012542798525892,33.638614693357468,-0.92017541874551156
17.410156523040161,33.639267262864095,-0.94175419211568479
17.817063195457308,33.639950735886444,-0.9638425234827338
18.233480008684413,33.640666578053306,-0.98645269842383232
18.659629231817458,33.641416324727302,-1.0095973168263208
19.095738328780975,33.642201584343063,-1.0332893022078988
19.542040079740534,33.643024041871101,-1.0575419114076166
19.998772705352859,33.643885462519826,-1.0823687446349128
20.466179993919898,33.644787695557888,-1.1077837559394963
20.944511431514698,33.645732678351472,-1.1338012640988799
21.434022335148569,33.646722440618824,-1.1604359639429349
21.93497398905059,33.647759108828424,-1.1877029381665887
22.44763378413224,33.648844910879895,-1.2156176696252594
22.972275360711524,33.649982180962532,-1.2441960541663237
23.509178754572869,33.65117336469843,-1.2734544140041464
24.058630546440657,33.652421024486337,-1.3034095117017972
24.620924014946254,33.653727845151295,-1.3340785647571181
25.196359293170147,33.655096639853319,-1.3654792608568909
25.785243528842738,33.65653035627701,-1.3976297738319896
26.387891048289333,33.658032083166866,-1.4305487803410484
27.004623524206821,33.659605057118043,-1.4642554773678049
27.635770147361601,33.661252669780794,-1.4987696005140201
28.281667802300323,33.662978475360617,-1.5341114432134015
28.942661247167518,33.664786198542785,-1.5703018768714805
29.619103297725534,33.666679742763435,-1.6073623720102428
30.311355015675794,33.668663198918161,-1.6453150204833706
31.019785901380967,33.670740854530479,-1.6841825588236339
31.744774091091934,33.672917203325156,-1.7239883928082753
32.486706558783744,33.675196955350827,-1.7647566232925835
33.245979322709417,33.677585047556249,-1.8065120734491569
34.022997656780682,33.680086654934648,-1.8492803174522938
34.818176306889661,33.682707202227739,-1.8930877107537245
35.631939712285842,33.685452376225903,-1.9379614219989048
36.464722232127485,33.688328138707234,-1.9839294667651024
37.316968377327534,33.691340740021033,-2.0310207432069336
38.189133047818544,33.694496733386657,-2.0792650697450705
39.081681775362661,33.69780298993777,-2.1286932249567112
39.995090972036657,33.701266714532075,-2.1793369898176018
