"Frequency / Hz","Resistor voltage","Resistor voltage"
10,52.296988545172127,-0.32365440447558624
10.312831606721847,52.296982530414056,-0.33377921706933655
10.635449574860113,52.296976143481508,-0.34422074533937375
10.968160052731379,52.296969280856317,-0.35498891890846102
11.311278765939214,52.296962052421719,-0.36609393563162529
11.665131316981961,52.296954238828505,-0.37754634379446333
12.030053494233242,52.296946014357516,-0.38935700059221623
12.406391590588319,52.296937276582234,-0.40153710861240016
12.794502732078733,52.296927952824845,-0.414098232961782
13.19475521676706,52.296918106451045,-0.4270522803464023
13.607528864243331,52.296907531092565,-0.44041155525506787
14.033215376054846,52.296896389716778,-0.45418871884788009
14.472218707411344,52.296884434911313,-0.46839684844826174
14.92495545051829,52.296871824979185,-0.48304941778834704
15.391855229902054,52.296858349625793,-0.49816033581425806
15.873361110102095,52.29684401405337,-0.51374393093026161
16.369930016117028,52.296828752672972,-0.52981498943582617
16.882033167003637,52.296812587892205,-0.54638874978564644
17.410156523040161,52.296795317944543,-0.56348095294073786
17.954801246878311,52.296777038029248,-0.58110778225833692
18.516484179121552,52.296757508029572,-0.59928598592746174
19.095738328780975,52.2967368128609,-0.61803278517682436
19.693113379074227,52.296714752973244,-0.6373659738275691
20.309176209047358,52.296691313358522,-0.6573038871317507
20.944511431514698,52.2966663866749,-0.67786542938770433
21.599721947827181,52.296639869126345,-0.69907011011425824
22.275429519995576,52.296611670991695,-0.72093803055869188
22.972275360711524,52.296581661977221,-0.74348993547209474
23.690920741826332,52.296549767113433,-0.76674720456806855
24.432047621864879,52.296515826603176,-0.79073189896133267
25.196359293170147,52.296479756992078,-0.81546675129970203
25.984581049292483,52.296441376260113,-0.84097522416356318
26.79746087325691,52.296400557575694,-0.86728149592724801
27.635770147361587,52.296357148714378,-0.89441051088500356
28.500304385181067,52.296310984713827,-0.92238798328360361
29.391883986468859,52.29626187622727,-0.95124043817929116
30.311355015675794,52.296209664468833,-0.98099521916555754
31.259590004822812,52.296154131712676,-1.0116805317118149
32.237488781490299,52.296095065875932,-1.0433254572720536
33.245979322709417,52.296032248179507,-1.0759599817838215
34.286018635565867,52.29596544138569,-1.1096150335871464
35.35859366535179,52.295894388714956,-1.1443224968244226
36.464722232127485,52.295818820749879,-1.1801152544845097
37.605453996581716,52.295738451725533,-1.2170272141980267
38.781871456107233,52.295652975103579,-1.2550933381241656
39.995090972036657,52.295562079918597,-1.2943496737571696
41.246263829013522,52.295465400580952,-1.3348334017075441
42.536577327503871,52.295362582213741,-1.3765828513805178
43.867255910484985,52.295253232088513,-1.4196375453370393
45.239562325380533,52.295136936572895,-1.4640382405314312
46.654798822344731,52.295013255540887,-1.5098269547585752
48.114308390032598,52.294881718268044,-1.5570470192065478
49.619476030029027,52.294741825019358,-1.6057431053426605
51.171730071146051,52.294593044971982,-1.6559612757390143
52.772543524835378,52.294434822278824,-1.7077490183636221
54.423435483002663,52.294266543934867,-1.7611553034605614
56.125972559549716,52.294087584529684,-1.8162306116427347
57.881770377012742,52.293897255940109,-1.8730269926860725
59.692495099707337,52.293694842830703,-1.9315981065174315
61.559865014835076,52.293479576225323,-1.9919992754564972
63.485652163052166,52.293250641055153,-2.0542875335258026
65.471684020047363,52.293007171243033,-2.118521677491024
67.519845230725011,52.292748240427201,-2.1847623237274605
69.632079397638833,52.292472871510405,-2.2530719527245653
71.810390925373497,52.292180024426465,-2.3235149785191505
74.056846922624345,52.291868585820708,-2.3961577969041494
76.373579163780192,52.291537378140454,-2.4710688506028045
78.762786111870554,52.291185149495192,-2.5483186835504381
81.226735004797121,52.290810565610883,-2.6279800079645903
83.767764006829154,52.290412211673086,-2.7101277678576245
86.388284427404443,52.28998857872854,-2.7948392050291453
89.090783009341379,52.289538067213698,-2.8821939208603111
91.877824288633349,52.289058974121787,-2.972273953588509
94.752053028065433,52.288549487210865,-3.0651638447262592
97.716196726961769,52.288007684575163,-3.1609507091690858
100.77306820944618,52.287431519146196,-3.2597243119862087
103.92556829367132,52.286818815708436,-3.361577144908507
107.17668854455034,52.286167262499497,-3.4666045006955071
110.52951411260221,52.285474402126518,-3.5749045530343313
113.98722666160525,52.284737621765991,-3.6865784407353801
117.55310738783699,52.283954146168384,-3.8017303414171364
121.23054013376529,52.28312102105324,-3.9204675667522517
125.0230145991456,52.28223511208504,-4.0429006359527753
128.93412965257158,52.281293084853033,-4.1691433722873539
132.96759674662127,52.280291395644568,-4.2993129853771448
137.1272434398401,52.279226280267025,-4.4335301620423824
141.41701702890239,52.278093737156382,-4.571919158521645
145.84098829439864,52.276889516301843,-4.7146078900511288
150.40335536380252,52.275609098983679,-4.8617280262002085
155.10844769528404,52.274247685887545,-5.0134150834667226
159.96073018614879,52.272800179271897,-5.1698085176568407
164.96480740980206,52.27126116204866,-5.3310518230244348
170.12542798525891,52.269624881709539,-5.4972926224990903
175.44748908334597,52.267885226036853,-5.6686827691386599
180.93604107387165,52.266035704362906,-5.8453784366610231
186.59629231817459,52.264069424462519,-6.0275402147421495
192.43361411159802,52.261979067194005,-6.2153332041420333
198.45354578058033,52.259756861020811,-6.408927108703411
204.66179993919897,52.257394555139371,-6.6084963287233647
211.06426791015548,52.25488339135083,-6.8142200459665832
217.66702531534591,52.252214073701211,-7.0262823131229446
224.47633784132239,52.249376736548484,-7.2448721373467047
231.49866718511609,52.246360910566445,-7.4701835597542274
238.74067718606469,52.24315548809966,-7.7024157314705359
246.20924014946254,52.239748686795274,-7.9417729825107939
253.9114433680347,52.236128008551702,-8.1884648896988992
261.8545958474233,52.232280200153511,-8.4427063323772664
