"Frequency / Hz","L1:Inductor current","L1:Inductor current"
10,49.525324590316295,-3.5952743583893825
10.233717986325198,49.524517228625129,-3.6790742276541812
10.472898382363585,49.523671850311217,-3.7648163287294985
10.717668854455029,49.52278666097164,-3.8525448968581375
10.968160052731379,49.521859806543986,-3.9423051106274394
11.224505680853065,49.52088933881511,-4.0341431142345705
11.486842567375536,49.519873208821295,-4.1281060418361903
11.755310738783693,49.518809282043669,-4.2242420234411746
12.030053494233242,49.517695317912917,-4.3226002093281695
12.311217482038902,49.516528982837507,-4.4232307774471566
12.598952777950272,49.515307830781765,-4.5261849540679169
12.89341296525715,49.514029296327067,-4.6315150370788158
13.19475521676706,49.512690699063818,-4.7392743967545101
13.503140378698729,49.511289248628316,-4.8495174971527764
13.818733056536322,49.509822009103942,-4.9622999163255574
14.14170170289024,49.508285913610123,-5.0776783592561641
14.472218707411344,49.506677758769499,-5.1957106631228331
14.810460488806754,49.504994189964087,-5.3164558221101856
15.156607589006027,49.503231711058234,-5.4399739896738737
15.510844769528406,49.501386647011572,-5.5663265063198217
15.873361110102095,49.499455173745872,-5.6955758898706605
16.24435010958867,49.497433278197953,-5.8277858696725238
16.624009789266125,49.495316779074329,-5.9630213770335816
17.012542798525892,49.493101296842767,-6.1013485669371752
17.410156523040161,49.490782255160759,-6.242834820675319
17.817063195457308,49.488354877070371,-6.3875487488383476
18.233480008684413,49.48581416043335,-6.5355602108304751
18.659629231817458,49.48315488641871,-6.6869403007667314
19.095738328780975,49.480371600076076,-6.8417613632222567
19.542040079740534,49.477458607806085,-7.0000969865393534
19.998772705352859,49.474409953149532,-7.1620220070716041
20.466179993919898,49.4712194208075,-7.3276125038976172
20.944511431514698,49.467880520932241,-7.4969457911766941
21.434022335148569,49.464386475808851,-7.670100414620233
21.93497398905059,49.460730211503332,-7.8471561400704761
22.44763378413224,49.456904340564272,-8.0281939410043446
22.972275360711524,49.452901156273612,-8.2132959815732125
23.509178754572869,49.448712614531658,-8.4025456015740687
24.058630546440657,49.444330328359605,-8.596027286328443
24.620924014946254,49.439745540347147,-8.7938266521489652
25.196359293170147,49.43494912470149,-8.99603040672039
25.785243528842738,49.429931562336328,-9.2027263232780356
26.387891048289333,49.424682929410992,-9.4140031993245472
27.004623524206821,49.41919288440787,-9.6299508107537157
27.635770147361601,49.413450650627453,-9.8506598694761749
28.281667802300323,49.407444998222296,-10.076221972358478
28.942661247167518,49.401164234929979,-10.306729532417817
29.619103297725534,49.394596182200814,-10.542275726945485
30.311355015675794,49.387728164807676,-10.782954417453603
31.019785901380967,49.380546989637082,-11.028860080096923
31.744774091091934,49.373038931190464,-11.280087716992748
32.486706558783744,49.365189713791594,-11.536732765155392
33.245979322709417,49.356984495672094,-11.798890996621564
34.022997656780682,49.348407848157557,-12.066658415865913
34.818176306889661,49.339443740859473,-12.340131140477215
35.631939712285842,49.330075525510104,-12.619405275658861
36.464722232127485,49.320285913352038,-12.904576784596314
37.316968377327534,49.31005696557159,-13.195741339598564
38.189133047818544,49.299370068865862,-13.492994175840913
39.081681775362661,49.288205924838671,-13.79642992037037
39.995090972036657,49.276544528860235,-14.106142424376571
40.929848184524403,49.26436515778753,-14.422224574079394
41.886452354352713,49.251646354602499,-14.744768092225797
42.86541408420927,49.23836591011888,-15.073863336621665
43.867255910484985,49.224500855375268,-15.409599071249721
44.89251258218605,49.210027444668199,-15.75206224145812
45.941731346364762,49.194921144025784,-16.101337724392447
47.015472240221321,49.17915662399971,-16.457508075415301
48.114308390032598,49.162707748722795,-16.820653255195804
49.238826317067392,49.145547567563383,-17.190850350836616
50.389626250651503,49.127648313032125,-17.568173278641815
51.56732244854966,49.108981393036672,-17.952692481242753
52.772543524835378,49.08951739274643,-18.344474605349884
54.005932785423738,49.069226074364003,-18.743582171858296
55.268148571446034,49.048076379511159,-19.150073237987982
56.559864610650081,49.026036436572625,-19.5640010389472
57.881770377012742,49.003073569100422,-19.985413632530364
59.234571458758062,48.979154308998581,-20.414353520718251
60.618989934975723,48.954244409983247,-20.850857276531404
62.035764761042749,48.92830886852969,-21.294955153974577
63.485652163052166,48.901311946071033,-21.746670695334458
64.969426041461247,48.87321719617978,-22.206020335472608
66.487878384172632,48.843987495041972,-22.6730130013452
68.041819689271009,48.813585076921164,-23.147649712474887
69.632079397638833,48.781971574281535,-23.629923180647136
71.259506335684108,48.749108062329967,-24.119817411822599
72.924969168414449,48.71495510832294,-24.617307316062028
74.629356863101378,48.67947282572316,-25.122358323756348
76.373579163780235,48.642620933618886,-25.634926011885174
78.15856707684091,48.604358820856504,-26.154955743654018
79.985273367967125,48.564645615818137,-26.682382324440773
81.854673070690296,48.523440260225584,-27.217129677077697
83.767764006829196,48.480701589590268,-27.759110536590441
85.725567319093244,48.436388416204778,-28.308226175368912
87.7291280161336,48.390459619374596,-28.864366151435938
89.779515530333228,48.342874238268919,-29.42740809257587
91.877824288633349,48.293591570331806,-29.997217512135535
94.025174296701323,48.242571272473754,-30.573647666422392
96.222711736751393,48.189773467549848,-31.156539449533671
98.471609579337738,48.135158851952625,-31.745721337051481
100.77306820944618,48.078688807542491,-32.341009373275746
103.12831606721848,48.020325515733319,-32.942207208056416
105.53861030365231,47.960032072238164,-33.549106188030514
108.00523745162529,47.897772603265821,-34.161485501153223
110.52951411260221,47.833512382923438,-34.779112373945388
113.11278765939214,47.767217949280401,-35.401742328798456
115.75643695533036,47.698857219335558,-36.02911949949219
118.46187309026836,47.628399603186054,-36.660977000954688
121.23054013376529,47.555816114321075,-37.297037361124552
