"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
10,64.141949535807441,-0.86871089464043083
10.249817206890787,64.144967884133706,-0.89056689227621133
10.505875277467448,64.148140034687145,-0.91298084866699702
10.768330119243442,64.151473883834626,-0.93596763695574448
11.037341534570178,64.154977739953068,-0.95954257580722246
11.313073317936778,64.158660344872146,-0.98372144639137082
11.595693355700543,64.162530898106809,-1.0085205103712904
11.885373728308869,64.166599080531469,-1.0339565288553041
12.182290815074795,64.170875081027233,-1.060046782722432
12.486625401570123,64.175369624416504,-1.0868090933619603
12.798562789701306,64.180093999896172,-1.1142618454895954
13.11829291053526,64.185060092896265,-1.1424240106349381
13.446010439943782,64.190280416833033,-1.1713151724492621
13.781914917136895,64.195768148881385,-1.2009555532281311
14.126210866157457,64.201537165828043,-1.2313660423406438
14.479107920410833,64.20760208370406,-1.2625682262205018
14.840820950305572,64.213978298810574,-1.2945844204825847
15.211570194082734,64.220682031382154,-1.3274377039729393
15.591581391913625,64.227730372795236,-1.3611519550952222
15.98108592334745,64.235141334264767,-1.3957518906358903
16.380320948192686,64.242933899896514,-1.4312631070831874
16.789529550917909,64.251128082441454,-1.4677121250215301
17.208960888659977,64.259744982406545,-1.5051264365657306
17.63887034292976,64.268806851602648,-1.5435345561132543
18.079519675107708,64.278337160367073,-1.5829660748536165
18.53117718582396,64.288360669422474,-1.6234517193743796
18.994117878320044,64.298903506173573,-1.6650234146119951
19.468623625891674,64.309993246363859,-1.7077143516956614
19.954983343514499,64.321659001354135,-1.7515590609332126
20.4534931637574,64.33393151135671,-1.7965934906640548
20.96445661709037,64.346843244584576,-1.8428550926459162
21.48818481669684,64.360428504475948,-1.8903829139436352
22.024996647902867,64.374723543341318,-1.9392176970095925
22.575218962338671,64.389766684860362,-1.9894019880070608
23.139186776950623,64.405598455697245,-2.0409802542216764
23.71724347798483,64.422261726254831,-2.093999012229375
24.309741030066721,64.439801862382907,-2.148506967157942
24.917040190503688,64.458266888686794,-2.2045551646341202
25.539510728941401,64.47770766394413,-2.2621971569139276
26.177531652507547,64.498178071249143,-2.3214891842755705
26.831491436580023,64.519735222178298,-2.382490374180497
27.501788261320076,64.542439678247291,-2.4452629595211968
28.18883025411456,64.566355690445874,-2.509872518485821
28.893035738074719,64.591551458494052,-2.5763882388979096
29.614833486742871,64.618099412586304,-2.6448832094458976
30.35466298516226,64.646076519114274,-2.7154347417094948
31.112974697468704,64.675564613818722,-2.788124726180782
31.890230341167243,64.706650764208348,-2.8630400276562362
32.68690316826067,64.739427665747641,-2.9402729238711576
33.50347825340112,64.773994074483326,-3.0199215943202167
34.340452789240231,64.810455281012636,-3.1020906653827303
35.198336389157525,64.848923630151361,-3.1868918198098966
36.077651397551719,64.889519092328882,-3.2744444795813941
36.978933207883308,64.932369892205031,-3.3648765729706911
37.902730588662749,64.97761320238213,-3.4583253979064668
38.849606017582126,65.025395909994188,-3.5549385965059512
39.820136023994117,65.075875465793374,-3.6548752576986359
40.814911539946664,65.129220826801173,-3.7583071681888773
41.83453825998707,65.185613504924206,-3.8654202358169631
42.879637009954664,65.245248736511613,-3.9764161137011831
43.950844124986439,65.30833678992326,-4.0915140591737735
45.048811836966117,65.375104431329646,-4.2109530682049563
46.174208671652067,65.445796572072112,-4.3349943345751019
47.327719855726521,65.520678125803443,-4.4639240926512249
48.510047734013249,65.600036107939999,-4.5980569161254197
49.72191219711825,65.684182016747826,-4.7377395603613985
50.964051119753556,65.773454542607666,-4.8833554559210057
52.237220810011173,65.868222661330563,-5.0353299862872607
53.542196469860635,65.968889178831859,-5.1941367142551353
54.879772667150469,66.075894808521994,-5.3603047622879973
56.250763819401392,66.189722880414635,-5.5344276046126568
57.65600468968502,66.31090480300044,-5.717173596577557
59.096350894890946,66.440026426791064,-5.9092986554040863
60.572679426690904,66.577735493705234,-6.1116616233069561
62.085889185517608,66.724750401900863,-6.325242998749232
63.636901527883303,66.881870573820692,-6.551167929416442
65.226660827371305,67.049988791042793,-6.7907346415826515
66.856135049642006,67.230105958915772,-7.0454498649273205
68.526316341803494,67.423348895146518,-7.3170733437010762
70.238221636505912,67.630991911876052,-7.6076742692666119
71.992893271126718,67.854483197016847,-7.9197035245604628
73.791399622424663,68.095477322673261,-8.2560871484317371
75.634835757048265,68.355875652404194,-8.6203486430310523
77.524324098295196,68.637877038226108,-9.0167710345221082
79.461015109528432,68.944042073254394,-9.4506145624357263
81.446087994665334,69.277375418501805,-9.9284135208473021
83.480751416166243,69.641432541093124,-10.458387807518394
85.566244230959327,70.040459879098819,-11.051024121272594
87.703836244750661,70.479581447001465,-11.719913792917193
89.894828985177767,70.965050944439511,-12.48298875757629
92.140556494277988,71.504597672194677,-13.364392960989711
94.442386140754323,72.107908726501137,-14.397400889080799
96.80171945253278,72.787311402050634,-15.629125392208579
99.219992970118511,73.558750621592765,-17.128411848987326
101.69867912127037,74.443193371934512,-18.999679255346191
104.2392871175263,75.468604052770445,-21.408464042353344
106.84336387312493,76.672460203965528,-24.631365774623223
109.51249494688506,78.103668934244112,-29.159862200769556
112.24830550761219,79.817198449733326,-35.927044916880938
115.05246132362585,81.828391987462197,-46.789051969344342
117.92666977700371,83.889396487209282,-65.117104004056188
120.87268090316606,84.919139742268484,-93.147909998509419
123.89228845642909,83.728255592557716,-122.12085322012128
126.98733100217838,81.293163748999973,-141.75936221203602
130.15969303632653,78.824588201072302,-153.40966113893168
133.41130613273614,76.644775443050719,-160.61217929735739
136.7441501193095,74.753745600624754,-165.40113123773176
