"Frequency / Hz","Am1:Measured current","Am1:Measured current"
10,44.964857658334367,23.8617836327678
10.249817206890787,45.004900486695966,24.385267869225423
10.505875277467448,45.04663283265289,24.917069567627436
10.768330119243442,45.090111861767568,25.457120792617754
11.037341534570178,45.13539552932631,26.005339846855485
11.313073317936778,45.182542510603874,26.561630758549192
11.595693355700543,45.231612105834586,27.125882872058227
11.885373728308869,45.282664170168509,27.697970365781696
12.182290815074795,45.335759012707115,28.277751904643988
12.486625401570123,45.390957268939971,28.865070386950691
12.798562789701306,45.448319835836429,29.459752533047002
13.11829291053526,45.507907725938566,30.061608795393685
13.446010439943782,45.569781987410877,30.670433058671115
13.781914917136895,45.634003548168629,31.286002693674668
14.126210866157457,45.700633133945317,31.908078388329443
14.479107920410833,45.769731122843289,32.53640428878095
14.840820950305572,45.841357433621184,33.170708092884901
15.211570194082734,45.915571428202966,33.810701158552099
15.591581391913625,45.992431754006148,34.456078959483882
15.98108592334745,46.071996274290896,35.106521269566215
16.380320948192686,46.154321931158663,35.761692736311176
16.789529550917909,46.239464660963691,36.421243348357542
17.208960888659977,46.327479305699775,37.084809029857226
17.63887034292976,46.418419517272028,37.752012395895783
18.079519675107708,46.512337698310816,38.422463465870855
18.53117718582396,46.609284937002862,39.09576054759453
18.994117878320044,46.709310968896141,39.771491122552568
19.468623625891674,46.812464150119133,40.449232813059169
19.954983343514499,46.918791441970562,41.128554443599846
20.4534931637574,47.028338416116718,41.809017141566741
20.96445661709037,47.141149297644951,42.490175379633442
21.48818481669684,47.257266993423777,43.171578247293056
22.024996647902867,47.376733181140452,43.852770535811807
22.575218962338671,47.499588398793307,44.533293963112072
23.139186776950623,47.625872158673381,45.212688401342866
23.71724347798483,47.755623100030853,45.890493021697232
24.309741030066721,47.888879156641515,46.566247484377534
24.917040190503688,48.025677752328299,47.239493094359069
25.539510728941401,48.166056036364097,47.909773838057724
26.177531652507547,48.310051122235642,48.576637532536829
26.831491436580023,48.45770038355144,49.239636727231371
27.501788261320076,48.609041761769738,49.89832965323923
28.18883025411456,48.764114105368648,50.552281084000249
28.893035738074719,48.922957551006057,51.201063033239926
29.614833486742871,49.085613923378901,51.844255450812817
30.35466298516226,49.25212717962183,52.481446727720844
31.112974697468704,49.422543877852256,53.112234163154348
31.890230341167243,49.596913693828796,53.736224232571715
32.68690316826067,49.775289964275899,54.353032799101847
33.50347825340112,49.95773027914035,54.962285142656746
34.340452789240231,50.144297114146745,55.563615865257567
35.198336389157525,50.335058513421757,56.156668625713102
36.077651397551719,50.530088817802856,56.74109577030859
36.978933207883308,50.729469458240246,57.31655772612735
37.902730588662749,50.933289805526051,57.882722273818764
38.849606017582126,51.14164809368976,58.439263608581712
39.820136023994117,51.354652421786859,58.985861199063365
40.814911539946664,51.572421842772009,59.522198453314616
41.83453825998707,51.795087555941429,60.047961121335561
42.879637009954664,52.02279421299486,60.562835454379687
43.950844124986439,52.255701356443183,61.066506070082738
45.048811836966117,52.493985008141962,61.558653506278638
46.174208671652067,52.737839435300728,62.038951382522264
47.327719855726521,52.987479115479857,62.507063168165104
48.510047734013249,53.24314093905236,62.962638441911217
49.72191219711825,53.50508668462713,63.405308588484786
50.964051119753556,53.773605814888086,63.83468182118709
52.237220810011173,54.049018649673442,64.250337395195203
53.542196469860635,54.331679982343182,64.651818867817639
54.879772667150469,54.621983221808385,65.038626185272946
56.250763819401392,54.920365158791718,65.410206358960451
57.65600468968502,55.227311478524314,65.765942394221696
59.096350894890946,55.543363167582463,66.105140077711368
60.572679426690904,55.869124000994823,66.427012075839002
62.085889185517608,56.205269338158182,66.730658676332524
63.636901527883303,56.552556516287666,67.01504427661375
65.226660827371305,56.911837205260042,67.27896844359033
66.856135049642006,57.284072186948627,67.52102999304978
68.526316341803494,57.670349153869367,67.739581993266881
70.238221636505912,58.07190429658214,67.93267486581145
71.992893271126718,58.490148686369061,68.097983687618765
73.791399622424663,58.926700781107499,68.232714291222706
75.634835757048265,59.383426826357038,68.33348053965851
77.524324098295196,59.862491543025882,68.396141866421473
79.461015109528432,60.366422367671206,68.415585204283559
81.446087994665334,60.89819176440507,68.385427781136997
83.480751416166243,61.461323945644068,68.297605226441391
85.566244230959327,62.060035017399031,68.141790048057544
87.703836244750661,62.699419563411553,67.904553491816927
89.894828985177767,63.385702730624907,67.568129279210439
92.140556494277988,64.126586120731972,67.108541924905666
94.442386140754323,64.931729958545802,66.492687947313016
96.80171945253278,65.813435468106945,65.673627795729345
99.219992970118511,66.787622274291209,64.582691445698259
101.69867912127037,67.875232809605293,63.115637067609427
104.2392871175263,69.104207631482396,61.107106947600322
106.84336387312493,70.512001111571522,58.280681470858418
109.51249494688506,72.147497804628117,54.145063619173357
112.24830550761219,74.065643837501071,47.76734261447077
115.05246132362585,76.281760409180151,37.291560786617062
117.92666977700371,78.547971319917622,19.346682799583228
120.87268090316606,79.783181547820845,-8.3037803210363688
123.89228845642909,78.798013675712482,-36.898991175210789
126.98733100217838,76.568872726025162,-56.162251282590034
130.15969303632653,74.306458278510945,-67.439616769057736
133.41130613273614,72.332996227917747,-74.271317257044359
136.7441501193095,70.648488414661045,-78.691371227219307
140.1602542834554,69.198891105811981,-81.721376396973639
143.66169860767508,67.933823932989895,-83.894817956214723
147.25061503601063,66.814329268811235,-85.509223259253105
150.92918877213532,65.811310063160562,-86.741210415542682
154.69965960987005,64.902979915653987,-87.701400776146158
158.56432329693939,64.072804448295088,-88.462274543871501
162.52553293279649,63.308027858588439,-89.073153132206201
166.58570040136712,62.598646551276516,-89.568688966405063
