"Frequency / Hz","Resistor voltage","Resistor voltage"
10,33.629587233683338,-0.54030394789939262
10.233717986325198,33.629812504544759,-0.5529465407858728
10.472898382363585,33.63004843363607,-0.56588567087073971
10.717668854455029,33.630295525481742,-0.57912834472516395
10.968160052731379,33.630554308495398,-0.59268173814320257
11.224505680853065,33.63082533619108,-0.6065532004768236
11.486842567375536,33.631109188254712,-0.62075025913647253
11.755310738783693,33.631406471883032,-0.63528062418621467
12.030053494233242,33.631717823077558,-0.65015219310442063
12.311217482038902,33.632043907934531,-0.66537305569502236
12.598952777950272,33.632385424181251,-0.68095149912067932
12.89341296525715,33.63274310261734,-0.69689601312883831
13.19475521676706,33.633117708719084,-0.71321529542089046
13.503140378698729,33.633510044239962,-0.72991825720444348
13.818733056536322,33.633920949007781,-0.74701402892181423
14.14170170289024,33.634351302696167,-0.76451196615456152
14.472218707411344,33.634802026693791,-0.78242165575432499
14.810460488806754,33.635274086166014,-0.80075292214096971
15.156607589006027,33.635768492071108,-0.81951583383640969
15.510844769528406,33.636286303367953,-0.8387207102260319
15.873361110102095,33.636828629337003,-0.85837812852444151
16.24435010958867,33.637396631925988,-0.87849893103128351
16.624009789266125,33.637991528295544,-0.89909423260392185
17.012542798525892,33.638614593448125,-0.92017542842079991
17.410156523040161,33.639267162990286,-0.94175420201335214
17.817063195457308,33.63995063603771,-0.96384253361496386
18.233480008684413,33.640666478233143,-0.9864527087919045
18.659629231817458,33.641416224945836,-1.0095973274355912
19.095738328780975,33.642201484592057,-1.0332893130674548
19.542040079740534,33.643023942163104,-1.0575419225184142
19.998772705352859,33.643885362849119,-1.0823687560054507
20.466179993919898,33.644787595919745,-1.1077837675770925
20.944511431514698,33.64573257875761,-1.1338012760083496
21.434022335148569,33.646722341072611,-1.160435976129129
21.93497398905059,33.647759009327316,-1.1877029506383228
22.44763378413224,33.648844811422173,-1.2156176823898421
22.972275360711524,33.649982081554548,-1.2441960672283545
23.509178754572869,33.651173265344731,-1.2734544273707546
24.058630546440657,33.652420925187442,-1.3034095253813083
24.620924014946254,33.653727745909173,-1.3340785787563156
25.196359293170147,33.655096540668211,-1.3654792751829772
25.785243528842738,33.656530257155808,-1.3976297884920357
26.387891048289333,33.658031984109677,-1.430548795345238
27.004623524206821,33.659604958129627,-1.464255492723274
27.635770147361601,33.661252570862359,-1.4987696162279844
28.281667802300323,33.662978376521856,-1.5341114592943279
28.942661247167518,33.664786099784536,-1.5703018933276709
29.619103297725534,33.666679644084525,-1.6073623888505859
30.311355015675794,33.668663100326896,-1.6453150377178365
31.019785901380967,33.670740756027236,-1.6841825764628471
31.744774091091934,33.672917104918831,-1.7239884108583041
32.486706558783744,33.675196857045869,-1.7647566417638425
33.245979322709417,33.677584949354163,-1.8065120923512783
34.022997656780682,33.680086556840301,-1.8492803367978052
34.818176306889661,33.682707104248458,-1.8930877305504203
35.631939712285842,33.685452278366789,-1.937961442257597
36.464722232127485,33.68832804097292,-1.9839294874980962
37.316968377327534,33.691340642418048,-2.0310207644240923
38.189133047818544,33.694496635920217,-2.0792650914585686
39.081681775362661,33.697802892615684,-2.1286932471777269
39.995090972036657,33.701266617360318,-2.1793370125580931
40.929848184524403,33.704895365380011,-2.2312292157372093
41.886452354352713,33.708697059785841,-2.2844037794858951
42.86541408420927,33.712680010007325,-2.3388957715834393
43.867255910484985,33.716852931202418,-2.3947414583091757
44.89251258218605,33.721224964698628,-2.4519783612960317
45.941731346364762,33.725805699524834,-2.5106453179796908
47.015472240221321,33.730605195096786,-2.5707825459353146
48.114308390032598,33.735634005122549,-2.6324317113895046
49.238826317067392,33.740903202809108,-2.6956360022339285
50.389626250651503,33.746424407436983,-2.7604402058935622
51.56732244854966,33.752209812394177,-2.8268907924308166
52.772543524835378,33.758272214755138,-2.8950360033004263
54.005932785423738,33.764625046495055,-2.9649259462173618
55.268148571446034,33.771282407459189,-3.0366126966182181
56.559864610650081,33.778259100164135,-3.1101504062793848
57.881770377012742,33.785570666587731,-3.1855954196531369
59.234571458758062,33.793233427041478,-3.2630063985975544
60.618989934975723,33.80126452127638,-3.3424444561816831
62.035764761042749,33.809681951962439,-3.4239733003577011
63.485652163052166,33.818504630700311,-3.5076593883399863
64.969426041461247,33.827752426732317,-3.5935720926189321
66.487878384172632,33.837446218532641,-3.6817838796410882
68.041819689271009,33.84760794847503,-3.772370502275721
69.632079397638833,33.858260680785868,-3.8654112073016424
71.259506335684108,33.869428663012073,-3.9609889592809577
72.924969168414449,33.88113739124875,-4.0591906823269959
74.629356863101378,33.893413679396375,-4.1601075214242256
76.373579163780235,33.90628573272911,-4.2638351251267865
78.15856707684091,33.919783226090573,-4.3704739516935511
79.985273367967125,33.933937387056829,-4.4801296008815905
81.854673070690296,33.948781084430088,-4.5929131739188653
83.767764006829196,33.964348922464595,-4.7089416644249749
85.725567319093244,33.980677341255806,-4.8283383833700579
87.7291280161336,33.997804723766848,-4.9512334215136136
89.779515530333228,34.015771510002921,-5.0777641531667017
91.877824288633349,34.034620318892991,-5.2080757855584077
94.025174296701323,34.054396078489106,-5.3423219586167754
96.222711736751393,34.075146165144609,-5.4806654005334687
98.471609579337738,34.096920552400562,-5.6232786451537331
100.77306820944618,34.119771970367438,-5.7703448179691721
103.12831606721848,34.143756076471881,-5.9220584983582167
105.53861030365231,34.168931638509591,-6.078626666685869
108.00523745162529,34.195360731045383,-6.2402697459876943
110.52951411260221,34.22310894628572,-6.407222749261825
113.11278765939214,34.25224562066856,-6.5797365448452982
115.75643695533036,34.282844078524249,-6.7580792540608057
